Service,CostCentre,Spend Type,Amount
Highways and Engineering Services,Highways Development Control,Employee Costs,18070.0
Highways and Engineering Services,Highways Development Control,Employee Costs,158050.0
Highways and Engineering Services,Highways Development Control,Transport Related,1000.0
Highways and Engineering Services,Highways Development Control,Supplies and Services,8530.0
Highways and Engineering Services,Highways Development Control,Support Service Recharges Expenditure,41780.0
Highways and Engineering Services,Transport Strategy,Employee Costs,31920.0
Highways and Engineering Services,Transport Strategy,Employee Costs,359990.0
Highways and Engineering Services,Transport Strategy,Transport Related,300.0
Highways and Engineering Services,Transport Strategy,Supplies and Services,43910.0
Highways and Engineering Services,Transport Strategy,Large Contract Areas,66050.0
Highways and Engineering Services,Transport Strategy,Support Service Recharges Expenditure,294960.0
Highways and Engineering Services,Flood Risk Management,Employee Costs,71420.0
Highways and Engineering Services,Flood Risk Management,Employee Costs,531800.0
Highways and Engineering Services,Flood Risk Management,Transport Related,2000.0
Highways and Engineering Services,Flood Risk Management,Supplies and Services,193000.0
Highways and Engineering Services,Flood Risk Management,Support Service Recharges Expenditure,229440.0
Highways and Engineering Services,Capital Team,Employee Costs,59450.0
Highways and Engineering Services,Capital Team,Employee Costs,350810.0
Highways and Engineering Services,Capital Team,Transport Related,1500.0
Highways and Engineering Services,Capital Team,Supplies and Services,21430.0
Highways and Engineering Services,Capital Team,Support Service Recharges Expenditure,114420.0
Highways and Engineering Services,Assets Team,Employee Costs,48490.0
Highways and Engineering Services,Assets Team,Employee Costs,368380.0
Highways and Engineering Services,Assets Team,Supplies and Services,93500.0
Highways and Engineering Services,Assets Team,Support Service Recharges Expenditure,231650.0
Highways and Engineering Services,Assets Team,Depreciation Charges and Revenue contribution to Capital,1030.0
Highways and Engineering Services,Highways Man. & Projects,Premise Related,15180.0
Highways and Engineering Services,Infrastructure Capital Financing,Depreciation Charges and Revenue contribution to Capital,8438640.0
Highways and Engineering Services,Minor Traffic Management Measures,Large Contract Areas,27990.0
Highways and Engineering Services,Depots - Client Costs,Premise Related,1790.0
Highways and Engineering Services,Depots - Client Costs,Premise Related,2720.0
Highways and Engineering Services,Depots - Client Costs,Depreciation Charges and Revenue contribution to Capital,31690.0
Highways and Engineering Services,Depots - Client Costs,"Grants, Contributions, Other Income ",7400.0
Highways and Engineering Services,Holme End Depot,Premise Related,12610.0
Highways and Engineering Services,Stannary Depot,Premise Related,30760.0
Highways and Engineering Services,Ainleys Deport,Premise Related,44445.0
Highways and Engineering Services,Structural Maintenance - Highway Works,Large Contract Areas,193320.0
Highways and Engineering Services,Bridges - Highway Works,Large Contract Areas,9670.0
Highways and Engineering Services,Environmental Maintenance - Highway Works,Large Contract Areas,9670.0
Highways and Engineering Services,Safety Maintenance - Highway Works,Large Contract Areas,135320.0
Highways and Engineering Services,Routine Maintenance - Highway Works,Large Contract Areas,434960.0
Highways and Engineering Services,Street Lighting Repairs & Maintenance - H/way Work,Large Contract Areas,193320.0
Highways and Engineering Services,Traffic Management - Highway Works,Large Contract Areas,43500.0
Highways and Engineering Services,Street Nameplates - Highway Works,Supplies and Services,2760.0
Highways and Engineering Services,Street Nameplates - Highway Works,Large Contract Areas,6610.0
Highways and Engineering Services,UTMC Control Room - Highway Works,Large Contract Areas,103190.0
Highways and Engineering Services,Street Lighting Energy - Highway Works,Premise Related,1930650.0
Highways and Engineering Services,Festive Lighting - Highway Works,Premise Related,4560.0
Highways and Engineering Services,Festive Lighting - Highway Works,Supplies and Services,6000.0
Highways and Engineering Services,Festive Lighting - Highway Works,Large Contract Areas,112430.0
Highways and Engineering Services,LLFA Works Budgets,Transport Related,9480.0
Highways and Engineering Services,LLFA Works Budgets,Supplies and Services,829690.0
Highways and Engineering Services,Rights of Way Works,Large Contract Areas,55020.0
Highways and Engineering Services,Winter Services - Highway Works,Supplies and Services,456130.0
Highways and Engineering Services,Winter Services - Highway Works,Large Contract Areas,968750.0
Highways and Engineering Services,Winter Services - Highway Works,Internal Recharge Expenditure,44560.0
Planning & Building Control,Development Management,Employee Costs,130220.0
Planning & Building Control,Development Management,Employee Costs,543066.0
Planning & Building Control,Development Management,Employee Related,1600.0
Planning & Building Control,Development Management,Transport Related,5220.0
Planning & Building Control,Development Management,Supplies and Services,55912.0
Planning & Building Control,Development Management,Support Service Recharges Expenditure,688840.0
Planning & Building Control,Building Control Non Fee Earning,Employee Costs,26400.0
Planning & Building Control,Building Control Non Fee Earning,Employee Costs,222851.0
Planning & Building Control,Building Control Non Fee Earning,Employee Related,130.0
Planning & Building Control,Building Control Non Fee Earning,Transport Related,4110.0
Planning & Building Control,Building Control Non Fee Earning,Supplies and Services,360.0
Planning & Building Control,Building Control Non Fee Earning,Support Service Recharges Expenditure,58600.0
Planning & Building Control,Building Control Trading Account,Employee Costs,36740.0
Planning & Building Control,Building Control Trading Account,Employee Costs,292873.0
Planning & Building Control,Building Control Trading Account,Employee Related,440.0
Planning & Building Control,Building Control Trading Account,Transport Related,9110.0
Planning & Building Control,Building Control Trading Account,Supplies and Services,11260.0
Planning & Building Control,Business Support & Customer Services,Supplies and Services,18500.0
Planning & Building Control,Business Support & Customer Services,Support Service Recharges Expenditure,187000.0
Planning & Building Control,Spatial Planning,Employee Costs,57200.0
Planning & Building Control,Spatial Planning,Employee Costs,395755.0
Planning & Building Control,Spatial Planning,Transport Related,440.0
Planning & Building Control,Spatial Planning,Support Service Recharges Expenditure,27450.0
Planning & Building Control,Local Development Framework,Supplies and Services,45770.0
Planning & Building Control,Economy and Environment Directorate,Employee Costs,17580.0
Planning & Building Control,Economy and Environment Directorate,Employee Costs,156800.0
Planning & Building Control,Economy and Environment Directorate,Supplies and Services,6990.0
Planning & Building Control,Economy and Environment Directorate,Support Service Recharges Expenditure,493870.0
Children and Young People's Serv - Central Depts.,Strategic Management Group,Employee Costs,419600.0
Children and Young People's Serv - Central Depts.,Strategic Management Group,Employee Related,2340.0
Children and Young People's Serv - Central Depts.,Strategic Management Group,Transport Related,1060.0
Children and Young People's Serv - Central Depts.,Strategic Management Group,Supplies and Services,22648.0
Children and Young People's Serv - Central Depts.,Education Welfare Team,Employee Costs,165000.0
Children and Young People's Serv - Central Depts.,Education Welfare Team,Transport Related,4200.0
Children and Young People's Serv - Central Depts.,Education Welfare Team,Supplies and Services,1950.0
Children and Young People's Serv - Central Depts.,Education Welfare Team,Internal Recharge Expenditure,96040.0
Children and Young People's Serv - Central Depts.,Fixed penalty notice income,Internal Recharge Expenditure,24890.0
Children and Young People's Serv - Central Depts.,Support From Central Departments,Support Service Recharges Expenditure,4078540.0
Children and Young People's Serv - Central Depts.,Business Support,Supplies and Services,85850.0
Children and Young People's Serv - Central Depts.,Capita One - New Server,Supplies and Services,110000.0
Children and Young People's Serv - Central Depts.,Five Schools Project,Supplies and Services,3607220.0
Children and Young People's Serv - Central Depts.,Early Intervention Assessment Framework,Employee Costs,38660.0
Children and Young People's Serv - Central Depts.,Early Intervention Assessment Framework,Transport Related,630.0
Children and Young People's Serv - Central Depts.,Supply Teachers-LEA Union Reps Etc,Employee Costs,35941.0
Children and Young People's Serv - Central Depts.,SEN Team,Employee Costs,653300.0
Children and Young People's Serv - Central Depts.,Alternative Provision for Hard to Place Children,Supplies and Services,120000.0
Children and Young People's Serv - Central Depts.,Employment Tribunals,Supplies and Services,40000.0
Children and Young People's Serv - Central Depts.,School Related Statutory Functions,Employee Costs,51800.0
Children and Young People's Serv - Central Depts.,School Related Statutory Functions,Transport Related,500.0
Children and Young People's Serv - Central Depts.,Governor Support,Employee Related,9440.0
Children and Young People's Serv - Central Depts.,Governor Support,Supplies and Services,28440.0
Children and Young People's Serv - Central Depts.,Governor Support,Internal Recharge Expenditure,54590.0
Children and Young People's Serv - Central Depts.,School Improvement Service,Employee Costs,265694.0
Children and Young People's Serv - Central Depts.,School Improvement Service,Premise Related,17670.0
Children and Young People's Serv - Central Depts.,School Improvement Service,Transport Related,2000.0
Children and Young People's Serv - Central Depts.,School Improvement Service,Supplies and Services,108170.0
Children and Young People's Serv - Central Depts.,School Improvement Service,Internal Recharge Expenditure,147540.0
Children and Young People's Serv - Central Depts.,Schools Partnership Board,Supplies and Services,704000.0
Children and Young People's Serv - Central Depts.,CYPS Landlord Repairs and Maintenance,Supplies and Services,87840.0
Children and Young People's Serv - Central Depts.,School Contingencies,Supplies and Services,1213322.0
Children and Young People's Serv - Central Depts.,Educational Psychology Service,Supplies and Services,200905.0
Children and Young People's Serv - Central Depts.,Specialist Inclusion Service (DSG),Employee Costs,2039404.0
Children and Young People's Serv - Central Depts.,Specialist Inclusion Service (DSG),Employee Related,5000.0
Children and Young People's Serv - Central Depts.,Specialist Inclusion Service (DSG),Transport Related,41400.0
Children and Young People's Serv - Central Depts.,Specialist Inclusion Service (DSG),Supplies and Services,32560.0
Children and Young People's Serv - Central Depts.,High needs Top up,Supplies and Services,5182000.0
Children and Young People's Serv - Central Depts.,EHC Support,Supplies and Services,700000.0
Children and Young People's Serv - Central Depts.,EHC Support,Large Contract Areas,700000.0
Children and Young People's Serv - Central Depts.,The Virtual School for Children Looked After,Employee Costs,381992.0
Children and Young People's Serv - Central Depts.,The Virtual School for Children Looked After,Transport Related,12455.0
Children and Young People's Serv - Central Depts.,The Virtual School for Children Looked After,Supplies and Services,1000.0
Children and Young People's Serv - Central Depts.,High needs 2020/21 reserve c/fwd,Supplies and Services,697000.0
Children and Young People's Serv - Central Depts.,Admissions & School Organisation & Planning,Employee Costs,362500.0
Children and Young People's Serv - Central Depts.,Capital Charges,Employee Costs,4645770.0
Children and Young People's Serv - Central Depts.,Capital Charges,Depreciation Charges and Revenue contribution to Capital,3572130.0
Children and Young People's Serv - Central Depts.,Education & Inclusion Management,Employee Costs,170640.0
Children and Young People's Serv - Central Depts.,Medical Needs Team,Employee Costs,153867.0
Children and Young People's Serv - Central Depts.,Medical Needs Team,Transport Related,4000.0
Children and Young People's Serv - Central Depts.,Medical Needs Team,Supplies and Services,740.0
Children and Young People's Serv - Central Depts.,Budget Savings,Supplies and Services,364376.0
Schools and Children's Services - Non-School,Special Extra District,Large Contract Areas,4498000.0
Schools and Children's Services - Non-School,Schools Forum,Supplies and Services,15500.0
Schools and Children's Services - Non-School,Brighouse Youth Centre,Premise Related,11560.0
Schools and Children's Services - Non-School,Cartwheel Youth Centre,Premise Related,6000.0
Schools and Children's Services - Non-School,Eastfield Jubilee Centre,Premise Related,250.0
Schools and Children's Services - Non-School,Forest Cottage Youth & Community Centre,Premise Related,21575.0
Schools and Children's Services - Non-School,Youth On Wheels,Premise Related,19120.0
Schools and Children's Services - Non-School,Queens Road Neighbourhood Centre,Premise Related,30990.0
Schools and Children's Services - Non-School,Sowerby Bridge Comm Centre,Premise Related,12070.0
Schools and Children's Services - Non-School,Todmorden,Premise Related,6193.0
Schools and Children's Services - Non-School,Youth Service - Admin Costs,Depreciation Charges and Revenue contribution to Capital,178130.0
Schools and Children's Services - Non-School,Detached Playing Fields,Premise Related,5770.0
Schools and Children's Services - Non-School,Vulnerable Children,Employee Costs,51824.0
Schools and Children's Services - Non-School,Vulnerable Children,Transport Related,500.0
Schools and Children's Services - Non-School,Vulnerable Children,Supplies and Services,500.0
Schools and Children's Services - Non-School,Central Halifax Youth Work,Premise Related,4200.0
Schools and Children's Services - Non-School,Hebden Bridge & Mytholmroyd,Premise Related,3000.0
Schools and Children's Services - Non-School,Luddenden Youth Club,Premise Related,12540.0
Schools and Children's Services - Non-School,Pellon Network Centre,Premise Related,4090.0
Schools and Children's Services - Non-School,Rent Income CYP Land,Premise Related,410.0
Schools and Children's Services - Non-School,Youth Service - Central Costs,Employee Costs,59667.0
Schools and Children's Services - Non-School,Youth Service - Central Costs,Transport Related,500.0
Schools and Children's Services - Non-School,Youth Service - Central Costs,Supplies and Services,168750.0
Schools and Children's Services - Non-School,Youth Service - Central Costs,Depreciation Charges and Revenue contribution to Capital,8230.0
Schools and Children's Services - Non-School,Central Department Support,Support Service Recharges Expenditure,1319700.0
Schools and Children's Services - Non-School,Orangebox,Employee Costs,179880.0
Schools and Children's Services - Non-School,Orangebox,Premise Related,86500.0
Schools and Children's Services - Non-School,Orangebox,Supplies and Services,7620.0
Schools and Children's Services - Non-School,Orangebox,Depreciation Charges and Revenue contribution to Capital,68720.0
Schools and Children's Services - Non-School,CAL - Salaries,Employee Costs,13862.0
Schools and Children's Services - Non-School,YJB Intervention Programme,Employee Costs,171060.0
Schools and Children's Services - Non-School,YJB Intervention Programme,Employee Related,300.0
Schools and Children's Services - Non-School,YJB Intervention Programme,Transport Related,5050.0
Schools and Children's Services - Non-School,YJB Intervention Programme,Supplies and Services,400.0
Schools and Children's Services - Non-School,Intensive Supervision & Surveillance,Employee Costs,164305.0
Schools and Children's Services - Non-School,Intensive Supervision & Surveillance,Transport Related,4500.0
Schools and Children's Services - Non-School,Intensive Supervision & Surveillance,Supplies and Services,500.0
Schools and Children's Services - Non-School,Youth Offenders Team,Employee Costs,78513.0
Schools and Children's Services - Non-School,Youth Offenders Team,Employee Related,5180.0
Schools and Children's Services - Non-School,Youth Offenders Team,Premise Related,130.0
Schools and Children's Services - Non-School,Youth Offenders Team,Transport Related,3900.0
Schools and Children's Services - Non-School,Youth Offenders Team,Transport Related,68.0
Schools and Children's Services - Non-School,Youth Offenders Team,Supplies and Services,100099.0
Schools and Children's Services - Non-School,Referral Orders,Employee Costs,19985.0
Schools and Children's Services - Non-School,Referral Orders,Employee Related,810.0
Schools and Children's Services - Non-School,Referral Orders,Transport Related,250.0
Schools and Children's Services - Non-School,YOT High Risk Team,Employee Costs,184101.0
Schools and Children's Services - Non-School,YOT High Risk Team,Transport Related,3000.0
Schools and Children's Services - Non-School,YOT Early Intervention Team,Employee Costs,205512.0
Schools and Children's Services - Non-School,YOT Early Intervention Team,Transport Related,2000.0
Schools and Children's Services - Non-School,Targetted Youth Services Team 1,Employee Costs,245733.0
Schools and Children's Services - Non-School,Targetted Youth Services Team 1,Transport Related,1500.0
Schools and Children's Services - Non-School,Targetted Youth Services Team 1,Supplies and Services,5000.0
Schools and Children's Services - Non-School,Targetted Youth Services Team 2,Employee Costs,289678.0
Schools and Children's Services - Non-School,Targetted Youth Services Team 2,Transport Related,1500.0
Schools and Children's Services - Non-School,Targetted Youth Services Team 2,Supplies and Services,5000.0
Schools and Children's Services - Non-School,Young Carers,Employee Costs,201960.0
Schools and Children's Services - Non-School,Young Carers,Transport Related,5000.0
Schools and Children's Services - Non-School,Young Carers,Supplies and Services,5000.0
Schools and Children's Services - Non-School,Holiday Inclusion (Play),Employee Costs,46640.0
Schools and Children's Services - Non-School,Holiday Inclusion (Play),Supplies and Services,3000.0
Childrens Services Unit,CSU - Central Services,Support Service Recharges Expenditure,1151760.0
Childrens Services Unit,Kevin Pearce Childrens' Centre,Depreciation Charges and Revenue contribution to Capital,47650.0
Childrens Services Unit,Wellholme Park Centre,Depreciation Charges and Revenue contribution to Capital,11520.0
Childrens Services Unit,New Road Childrens' Centre,Depreciation Charges and Revenue contribution to Capital,5840.0
Childrens Services Unit,Jubilee Children's Centre,Depreciation Charges and Revenue contribution to Capital,87790.0
Childrens Services Unit,SENDIASS,Employee Costs,165860.0
Childrens Services Unit,SENDIASS,Transport Related,3000.0
Childrens Services Unit,SENDIASS,Supplies and Services,2570.0
Childrens Services Unit,Family Intervention Team,Employee Costs,957160.0
Childrens Services Unit,Family Intervention Team,Employee Related,500.0
Childrens Services Unit,Family Intervention Team,Transport Related,29500.0
Childrens Services Unit,Family Intervention Team,Supplies and Services,11090.0
Childrens Services Unit,Early Intervention Childcare Funding,Large Contract Areas,134000.0
Childrens Services Unit,Early Years & Childcare Sufficiency Team,Employee Costs,331574.0
Childrens Services Unit,Early Years & Childcare Sufficiency Team,Transport Related,1000.0
Childrens Services Unit,Early Years & Childcare Sufficiency Team,Supplies and Services,79000.0
Childrens Services Unit,Early Years & Childcare Sufficiency Team,Internal Recharge Expenditure,9000.0
Childrens Services Unit,Core Play Service,Premise Related,6300.0
Childrens Services Unit,Field Lane Children's Centre,Depreciation Charges and Revenue contribution to Capital,23740.0
Childrens Services Unit,D C A T C H,Supplies and Services,665560.0
Childrens Services Unit,Elland Children's Centre,Depreciation Charges and Revenue contribution to Capital,19330.0
Childrens Services Unit,Nursery Grant Funding,Supplies and Services,36000.0
Childrens Services Unit,Nursery Grant Funding,Large Contract Areas,13899846.0
Childrens Services Unit,Nursery Grant Funding,Internal Recharge Expenditure,104020.0
Childrens Services Unit,Creations Community Children's Centre,Depreciation Charges and Revenue contribution to Capital,14210.0
Childrens Services Unit,Information Advice & Support Service,Employee Costs,59000.0
Childrens Services Unit,Positive Choices (Innovation Funding),Employee Costs,35280.0
Childrens Services Unit,Public Health funding - Early Intervention,Employee Costs,98100.0
Childrens Services Unit,Public Health funding - Early Intervention,Transport Related,1900.0
Childrens Services Unit,Troubled Families (Phase 2),Employee Costs,500680.0
Childrens Services Unit,Troubled Families (Phase 2),Transport Related,10000.0
Childrens Services Unit,Troubled Families (Phase 2),Large Contract Areas,176320.0
Childrens Services Unit,Troubled Families (Phase 2),Internal Recharge Expenditure,108400.0
Childrens Care Services,Operational Management,Employee Costs,64540.0
Childrens Care Services,Operational Management,Employee Costs,570338.0
Childrens Care Services,Operational Management,Transport Related,5425.0
Childrens Care Services,Operational Management,Supplies and Services,22099.0
Childrens Care Services,Operational Management,Large Contract Areas,1450.0
Childrens Care Services,Operational Management,Support Service Recharges Expenditure,2949910.0
Childrens Care Services,CSC Legal,Employee Costs,7630.0
Childrens Care Services,CSC Legal,Employee Costs,53620.0
Childrens Care Services,CSC Legal,Supplies and Services,332600.0
Childrens Care Services,Field Heights,Employee Costs,64510.0
Childrens Care Services,Field Heights,Employee Costs,443960.0
Childrens Care Services,Field Heights,Transport Related,3440.0
Childrens Care Services,Field Heights,Supplies and Services,55750.0
Childrens Care Services,Hebble Lodge,Employee Costs,64730.0
Childrens Care Services,Hebble Lodge,Employee Costs,451039.0
Childrens Care Services,Hebble Lodge,Premise Related,50.0
Childrens Care Services,Hebble Lodge,Transport Related,3000.0
Childrens Care Services,Hebble Lodge,Transport Related,8500.0
Childrens Care Services,Hebble Lodge,Supplies and Services,37026.0
Childrens Care Services,Hebble Lodge,Depreciation Charges and Revenue contribution to Capital,3500.0
Childrens Care Services,Sleep On It,Employee Costs,49020.0
Childrens Care Services,Sleep On It,Premise Related,11897.0
Childrens Care Services,Sleep On It,Transport Related,6500.0
Childrens Care Services,Sleep On It,Depreciation Charges and Revenue contribution to Capital,5780.0
Childrens Care Services,Cousin Lane,Employee Costs,66490.0
Childrens Care Services,Cousin Lane,Employee Costs,463123.0
Childrens Care Services,Cousin Lane,Premise Related,10750.0
Childrens Care Services,Cousin Lane,Transport Related,3550.0
Childrens Care Services,Cousin Lane,Transport Related,600.0
Childrens Care Services,Cousin Lane,Supplies and Services,42082.0
Childrens Care Services,Cousin Lane,Depreciation Charges and Revenue contribution to Capital,5980.0
Childrens Care Services,Westgarth extra,Premise Related,18620.0
Childrens Care Services,Outreach (55 AFV),Employee Costs,184660.0
Childrens Care Services,Outreach (55 AFV),Premise Related,3500.0
Childrens Care Services,Outreach (55 AFV),Transport Related,5150.0
Childrens Care Services,Outreach (55 AFV),Supplies and Services,3000.0
Childrens Care Services,Linden Brook,Employee Costs,96280.0
Childrens Care Services,Linden Brook,Employee Costs,664957.0
Childrens Care Services,Linden Brook,Premise Related,20255.0
Childrens Care Services,Linden Brook,Transport Related,250.0
Childrens Care Services,Linden Brook,Supplies and Services,27653.0
Childrens Care Services,Linden Brook,Depreciation Charges and Revenue contribution to Capital,2560.0
Childrens Care Services,Childrens External Placements,Supplies and Services,9000.0
Childrens Care Services,Childrens External Placements,Large Contract Areas,3388160.0
Childrens Care Services,North & East/Lower Valley CIN/CP (non staff),Supplies and Services,26235.0
Childrens Care Services,North & East/Lower Valley CIN/CP (non staff),Large Contract Areas,3500.0
Childrens Care Services,Central and West & Upper Valley CIN/CP (non staff),Supplies and Services,58751.0
Childrens Care Services,Central and West & Upper Valley CIN/CP (non staff),Large Contract Areas,3500.0
Childrens Care Services,Locality Teams Staffing,Employee Costs,398820.0
Childrens Care Services,Locality Teams Staffing,Employee Costs,2778285.0
Childrens Care Services,Locality Teams Staffing,Transport Related,121155.0
Childrens Care Services,Locality Teams Staffing,Supplies and Services,12605.0
Childrens Care Services,Children Looked After (non staffing),Premise Related,800.0
Childrens Care Services,Children Looked After (non staffing),Supplies and Services,101018.0
Childrens Care Services,Children Looked After (non staffing),Large Contract Areas,11000.0
Childrens Care Services,Connected Carer Services,Supplies and Services,260.0
Childrens Care Services,Connected Carer Services,Large Contract Areas,822674.0
Childrens Care Services,Emergency Duty Team,Employee Costs,52520.0
Childrens Care Services,Emergency Duty Team,Employee Costs,382734.0
Childrens Care Services,Emergency Duty Team,Transport Related,6360.0
Childrens Care Services,Emergency Duty Team,Supplies and Services,760.0
Childrens Care Services,Adoption Service,Supplies and Services,1038128.0
Childrens Care Services,Adoption Service,Large Contract Areas,411057.0
Childrens Care Services,Fostering Team,Employee Costs,134870.0
Childrens Care Services,Fostering Team,Employee Costs,951943.0
Childrens Care Services,Fostering Team,Transport Related,27310.0
Childrens Care Services,Fostering Team,Supplies and Services,8370.0
Childrens Care Services,Fostering Service,Employee Related,14000.0
Childrens Care Services,Fostering Service,Supplies and Services,92510.0
Childrens Care Services,Fostering Service,Large Contract Areas,2888332.0
Childrens Care Services,Residence Allowances,Large Contract Areas,18980.0
Childrens Care Services,Special Guardianship,Supplies and Services,15000.0
Childrens Care Services,Special Guardianship,Large Contract Areas,1619756.0
Childrens Care Services,Purchased Foster Care,Large Contract Areas,1663480.0
Childrens Care Services,CLA POD 5,Employee Costs,198470.0
Childrens Care Services,CLA POD 5,Transport Related,9750.0
Childrens Care Services,CLA POD 5,Supplies and Services,3000.0
Childrens Care Services,CLA POD 5,Transfer Payments,1107723.0
Childrens Care Services,Care Leavers Service,Employee Costs,289530.0
Childrens Care Services,Care Leavers Service,Transport Related,10250.0
Childrens Care Services,Care Leavers Service,Supplies and Services,11900.0
Childrens Care Services,Care Leavers Service,Transfer Payments,646700.0
Childrens Care Services,Children's Assessment Team,Employee Costs,271640.0
Childrens Care Services,Children's Assessment Team,Employee Costs,1895832.0
Childrens Care Services,Children's Assessment Team,Transport Related,32765.0
Childrens Care Services,Children's Assessment Team,Supplies and Services,20930.0
Childrens Care Services,Children's Assessment Team,Large Contract Areas,8000.0
Childrens Care Services,Right Home - Innovation Programme,Supplies and Services,6500.0
Childrens Care Services,Right Home - Innovation Programme,Large Contract Areas,79206.0
Childrens Care Services,Elland Premises,Premise Related,18700.0
Childrens Care Services,Elland Premises,Depreciation Charges and Revenue contribution to Capital,3130.0
Childrens Care Services,Carlton Mill premises,Premise Related,55260.0
Childrens Care Services,Carlton Mill premises,Depreciation Charges and Revenue contribution to Capital,11670.0
Childrens Care Services,Schools Safeguarding Officer,Employee Costs,8470.0
Childrens Care Services,Schools Safeguarding Officer,Employee Costs,64395.0
Childrens Care Services,Schools Safeguarding Officer,Premise Related,5936.0
Childrens Care Services,Schools Safeguarding Officer,Supplies and Services,6900.0
Childrens Care Services,Schools Safeguarding Officer,Internal Recharge Expenditure,23452.0
Childrens Care Services,Young Carers,Employee Costs,25880.0
Childrens Care Services,Young Carers,Transport Related,200.0
Childrens Care Services,Calderdale Therapeutic Service,Employee Costs,29160.0
Childrens Care Services,Calderdale Therapeutic Service,Employee Costs,256250.0
Childrens Care Services,Calderdale Therapeutic Service,Employee Related,4000.0
Childrens Care Services,Calderdale Therapeutic Service,Premise Related,1000.0
Childrens Care Services,Calderdale Therapeutic Service,Transport Related,9970.0
Childrens Care Services,Calderdale Therapeutic Service,Supplies and Services,16379.0
Childrens Care Services,Calderdale Therapeutic Service,Large Contract Areas,3000.0
Childrens Care Services,Safeguarding Board,Employee Costs,33150.0
Childrens Care Services,Safeguarding Board,Employee Costs,232720.0
Childrens Care Services,Safeguarding Board,Employee Related,4530.0
Childrens Care Services,Safeguarding Board,Premise Related,12000.0
Childrens Care Services,Safeguarding Board,Transport Related,1500.0
Childrens Care Services,Safeguarding Board,Supplies and Services,122285.0
Transport Services,Management Supervision,Employee Costs,11360.0
Transport Services,Management Supervision,Employee Costs,106320.0
Transport Services,Management Supervision,Supplies and Services,1000.0
Transport Services,Mechanics,Employee Costs,37550.0
Transport Services,Mechanics,Employee Costs,272714.0
Transport Services,Mechanics,Employee Related,60.0
Transport Services,Mechanics,Supplies and Services,3450.0
Transport Services,Workshop,Supplies and Services,17590.0
Transport Services,Workshop,Support Service Recharges Income,53250.0
Transport Services,Vehicle and Plant Maintenance,Transport Related,211990.0
Transport Services,Vehicle and Plant Maintenance,Supplies and Services,22500.0
Transport Services,Vehicle and Plant Maintenance,Support Service Recharges Income,45780.0
Transport Services,Administration,Employee Costs,14970.0
Transport Services,Administration,Employee Costs,101695.0
Transport Services,Administration,Employee Related,670.0
Transport Services,Administration,Transport Related,40.0
Transport Services,Administration,Support Service Recharges Expenditure,635580.0
Transport Services,Vehicle Operations Account,Employee Costs,120540.0
Transport Services,Vehicle Operations Account,Employee Costs,1411785.0
Transport Services,Vehicle Operations Account,Employee Related,490.0
Transport Services,Vehicle Operations Account,Transport Related,129460.0
Transport Services,Vehicle Operations Account,Supplies and Services,17620.0
Transport Services,Vehicle Operations Account,Support Service Recharges Expenditure,230150.0
Transport Services,Vehicle Operations Account,Depreciation Charges and Revenue contribution to Capital,456570.0
Transport Services,Pellon Depot,Premise Related,94730.0
Transport Services,Pellon Depot,Supplies and Services,4170.0
Transport Services,Pellon Depot,Support Service Recharges Expenditure,95200.0
Transport Services,Pellon Depot,Depreciation Charges and Revenue contribution to Capital,83150.0
Transport Services,Washing,Supplies and Services,3560.0
Transport Services,Fuel,Transport Related,607272.0
Transport Services,Fuel,Supplies and Services,4000.0
Transport Services,Client Agent - D1 - Training,Employee Related,500.0
Transport Services,Client Agent - D1 - Training,Supplies and Services,5600.0
Transport Services,Client Agent - D1 - Training,Support Service Recharges Income,25710.0
Transport Services,Vehicle Hire Account,Transport Related,771610.0
Transport Services,Vehicle Hire Account,Support Service Recharges Expenditure,142070.0
Transport Services,Home to School Transport,Employee Costs,36970.0
Transport Services,Home to School Transport,Employee Costs,249608.0
Transport Services,Home to School Transport,Transport Related,1309242.0
Transport Services,Home to School Transport,Supplies and Services,13228.0
Transport Services,Home to School Transport,Support Service Recharges Expenditure,426060.0
Dedicated Schools Grant,Allocation of schools DSG grant,"Grants, Contributions, Other Income ",64843050.0
Dedicated Schools Grant,Allocation of Early years DSG grant,"Grants, Contributions, Other Income ",14354170.0
Dedicated Schools Grant,Allocation of High Needs DSG grant,"Grants, Contributions, Other Income ",24047480.0
Dedicated Schools Grant,Allocation of Central Block DSG grant,"Grants, Contributions, Other Income ",2162890.0
Law & Administration Service,Law & Admin General,Support Service Recharges Expenditure,67710.0
Law & Administration Service,Law & Admin General,Support Service Recharges Income,56200.0
Law & Administration Service,Document Management - Springwood,Employee Costs,200.0
Law & Administration Service,Document Management - Springwood,Employee Costs,33400.0
Law & Administration Service,Document Management - Springwood,Premise Related,43965.0
Law & Administration Service,Document Management - Springwood,Supplies and Services,1170.0
Law & Administration Service,Document Management - Springwood,Support Service Recharges Expenditure,45820.0
Law & Administration Service,Document Management - Heath,Premise Related,27800.0
Law & Administration Service,Freedom of Information Act 2000,Employee Costs,17240.0
Law & Administration Service,Freedom of Information Act 2000,Employee Costs,187150.0
Law & Administration Service,Freedom of Information Act 2000,Transport Related,340.0
Law & Administration Service,Freedom of Information Act 2000,Supplies and Services,2590.0
Law & Administration Service,Scrutiny Support,Employee Costs,19450.0
Law & Administration Service,Scrutiny Support,Employee Costs,134340.0
Law & Administration Service,Scrutiny Support,Premise Related,100.0
