Service,CostCentre,Spend Type,Amount
Highways and Engineering Services,Festive Lighting - Highway Works,Large Contract Areas,112430
Highways and Engineering Services,Festive Lighting - Highway Works,"Grants, Contributions, Other Income ",-15770
Highways and Engineering Services,LLFA Works Budgets,Transport Related,9480
Highways and Engineering Services,LLFA Works Budgets,Supplies and Services,829690
Highways and Engineering Services,LLFA Works Budgets,"Grants, Contributions, Other Income ",-376350
Highways and Engineering Services,Rights of Way Works,Large Contract Areas,55020
Highways and Engineering Services,Winter Services - Highway Works,Supplies and Services,456130
Highways and Engineering Services,Winter Services - Highway Works,Large Contract Areas,968750
Highways and Engineering Services,Winter Services - Highway Works,Internal Recharge Expenditure,44560
Highways and Engineering Services,Winter Services - Highway Works,"Grants, Contributions, Other Income ",-26010
Planning & Building Control,Development Management,Employee Costs,130220
Planning & Building Control,Development Management,Employee Costs,543066
Planning & Building Control,Development Management,Employee Related,1600
Planning & Building Control,Development Management,Transport Related,5220
Planning & Building Control,Development Management,Supplies and Services,55912
Planning & Building Control,Development Management,Support Service Recharges Expenditure,688840
Planning & Building Control,Development Management,"Grants, Contributions, Other Income ",-1436040
Planning & Building Control,Building Control Non Fee Earning,Employee Costs,26400
Planning & Building Control,Building Control Non Fee Earning,Employee Costs,222851
Planning & Building Control,Building Control Non Fee Earning,Employee Related,130
Planning & Building Control,Building Control Non Fee Earning,Transport Related,4110
Planning & Building Control,Building Control Non Fee Earning,Supplies and Services,360
Planning & Building Control,Building Control Non Fee Earning,Support Service Recharges Expenditure,58600
Planning & Building Control,Building Control Non Fee Earning,"Grants, Contributions, Other Income ",-2140
Planning & Building Control,Building Control Trading Account,Employee Costs,36740
Planning & Building Control,Building Control Trading Account,Employee Costs,292873
Planning & Building Control,Building Control Trading Account,Employee Related,440
Planning & Building Control,Building Control Trading Account,Transport Related,9110
Planning & Building Control,Building Control Trading Account,Supplies and Services,11260
Planning & Building Control,Building Control Trading Account,"Grants, Contributions, Other Income ",-433500
Planning & Building Control,Building Control - Partnership Work,"Grants, Contributions, Other Income ",-22710
Planning & Building Control,Business Support & Customer Services,Supplies and Services,18500
Planning & Building Control,Business Support & Customer Services,Support Service Recharges Expenditure,187000
Planning & Building Control,Business Support & Customer Services,Support Service Recharges Income,-205490
Planning & Building Control,Spatial Planning,Employee Costs,57200
Planning & Building Control,Spatial Planning,Employee Costs,395755
Planning & Building Control,Spatial Planning,Transport Related,440
Planning & Building Control,Spatial Planning,Support Service Recharges Expenditure,27450
Planning & Building Control,Local Development Framework,Supplies and Services,45770
Planning & Building Control,Unallocated Approved Budget,Supplies and Services,-97843
Planning & Building Control,Economy and Environment Directorate,Employee Costs,17580
Planning & Building Control,Economy and Environment Directorate,Employee Costs,156800
Planning & Building Control,Economy and Environment Directorate,Supplies and Services,6990
Planning & Building Control,Economy and Environment Directorate,Support Service Recharges Expenditure,493870
Planning & Building Control,Economy and Environment Directorate,Support Service Recharges Income,-675240
Planning & Building Control,Net Charge To General Rate Fund,Appropriations from/to Earmarked Reserves,-47500
Children and Young People's Serv - Central Depts.,Strategic Management Group,Employee Costs,419600
Children and Young People's Serv - Central Depts.,Strategic Management Group,Employee Related,2340
Children and Young People's Serv - Central Depts.,Strategic Management Group,Transport Related,1060
Children and Young People's Serv - Central Depts.,Strategic Management Group,Supplies and Services,22648
Children and Young People's Serv - Central Depts.,Strategic Management Group,"Grants, Contributions, Other Income ",-152360
Children and Young People's Serv - Central Depts.,Education Welfare Team,Employee Costs,165000
Children and Young People's Serv - Central Depts.,Education Welfare Team,Transport Related,4200
Children and Young People's Serv - Central Depts.,Education Welfare Team,Supplies and Services,1950
Children and Young People's Serv - Central Depts.,Education Welfare Team,Internal Recharge Expenditure,96040
Children and Young People's Serv - Central Depts.,Education Welfare Team,"Grants, Contributions, Other Income ",-267190
Children and Young People's Serv - Central Depts.,Fixed penalty notice income,Internal Recharge Expenditure,24890
Children and Young People's Serv - Central Depts.,Fixed penalty notice income,"Grants, Contributions, Other Income ",-95440
Children and Young People's Serv - Central Depts.,Support From Central Departments,Support Service Recharges Expenditure,4078540
Children and Young People's Serv - Central Depts.,Business Support,Supplies and Services,85850
Children and Young People's Serv - Central Depts.,Business Support,"Grants, Contributions, Other Income ",-85850
Children and Young People's Serv - Central Depts.,Capita One - New Server,Supplies and Services,110000
Children and Young People's Serv - Central Depts.,Capita One - New Server,"Grants, Contributions, Other Income ",-110000
Children and Young People's Serv - Central Depts.,Five Schools Project,Supplies and Services,3607220
Children and Young People's Serv - Central Depts.,Five Schools Project,"Grants, Contributions, Other Income ",-5610726
Children and Young People's Serv - Central Depts.,Early Intervention Assessment Framework,Employee Costs,38660
Children and Young People's Serv - Central Depts.,Early Intervention Assessment Framework,Transport Related,630
Children and Young People's Serv - Central Depts.,Services to schools for Inclusion,"Grants, Contributions, Other Income ",-3810
Children and Young People's Serv - Central Depts.,Supply Teachers-LEA Union Reps Etc,Employee Costs,35941
Children and Young People's Serv - Central Depts.,Supply Teachers-LEA Union Reps Etc,"Grants, Contributions, Other Income ",-35941
Children and Young People's Serv - Central Depts.,SEN Team,Employee Costs,653300
Children and Young People's Serv - Central Depts.,SEN Team,"Grants, Contributions, Other Income ",-653300
Children and Young People's Serv - Central Depts.,Alternative Provision for Hard to Place Children,Supplies and Services,120000
Children and Young People's Serv - Central Depts.,Alternative Provision for Hard to Place Children,"Grants, Contributions, Other Income ",-113250
Children and Young People's Serv - Central Depts.,Employment Tribunals,Supplies and Services,40000
Children and Young People's Serv - Central Depts.,Employment Tribunals,"Grants, Contributions, Other Income ",-40000
Children and Young People's Serv - Central Depts.,School Related Statutory Functions,Employee Costs,51800
Children and Young People's Serv - Central Depts.,School Related Statutory Functions,Transport Related,500
Children and Young People's Serv - Central Depts.,School Related Statutory Functions,"Grants, Contributions, Other Income ",-52300
Children and Young People's Serv - Central Depts.,Governor Support,Employee Related,9440
Children and Young People's Serv - Central Depts.,Governor Support,Supplies and Services,28440
Children and Young People's Serv - Central Depts.,Governor Support,Internal Recharge Expenditure,54590
Children and Young People's Serv - Central Depts.,Governor Support,"Grants, Contributions, Other Income ",-92470
Children and Young People's Serv - Central Depts.,School Improvement Service,Employee Costs,265694
Children and Young People's Serv - Central Depts.,School Improvement Service,Premise Related,17670
Children and Young People's Serv - Central Depts.,School Improvement Service,Transport Related,2000
Children and Young People's Serv - Central Depts.,School Improvement Service,Supplies and Services,108170
Children and Young People's Serv - Central Depts.,School Improvement Service,Internal Recharge Expenditure,147540
Children and Young People's Serv - Central Depts.,School Improvement Service,"Grants, Contributions, Other Income ",-515194
Children and Young People's Serv - Central Depts.,Schools Partnership Board,Supplies and Services,704000
Children and Young People's Serv - Central Depts.,Schools Partnership Board,"Grants, Contributions, Other Income ",-704000
Children and Young People's Serv - Central Depts.,CYPS Landlord Repairs and Maintenance,Supplies and Services,87840
Children and Young People's Serv - Central Depts.,School Contingencies,Supplies and Services,1213322
Children and Young People's Serv - Central Depts.,School Contingencies,"Grants, Contributions, Other Income ",-806387
Children and Young People's Serv - Central Depts.,Educational Psychology Service,Supplies and Services,200905
Children and Young People's Serv - Central Depts.,Specialist Inclusion Service (DSG),Employee Costs,2039404
Children and Young People's Serv - Central Depts.,Specialist Inclusion Service (DSG),Employee Related,5000
Children and Young People's Serv - Central Depts.,Specialist Inclusion Service (DSG),Transport Related,41400
Children and Young People's Serv - Central Depts.,Specialist Inclusion Service (DSG),Supplies and Services,32560
Children and Young People's Serv - Central Depts.,Specialist Inclusion Service (DSG),"Grants, Contributions, Other Income ",-2089214
Children and Young People's Serv - Central Depts.,High needs Top up,Supplies and Services,5182000
Children and Young People's Serv - Central Depts.,High needs Top up,"Grants, Contributions, Other Income ",-5182000
Children and Young People's Serv - Central Depts.,EHC Support,Supplies and Services,700000
Children and Young People's Serv - Central Depts.,EHC Support,Large Contract Areas,700000
Children and Young People's Serv - Central Depts.,EHC Support,"Grants, Contributions, Other Income ",-1400000
Children and Young People's Serv - Central Depts.,The Virtual School for Children Looked After,Employee Costs,381992
Children and Young People's Serv - Central Depts.,The Virtual School for Children Looked After,Transport Related,12455
Children and Young People's Serv - Central Depts.,The Virtual School for Children Looked After,Supplies and Services,1000
Children and Young People's Serv - Central Depts.,The Virtual School for Children Looked After,"Grants, Contributions, Other Income ",-9512
Children and Young People's Serv - Central Depts.,High needs 2020/21 reserve c/fwd,Supplies and Services,697000
Children and Young People's Serv - Central Depts.,Admissions & School Organisation & Planning,Employee Costs,362500
Children and Young People's Serv - Central Depts.,Admissions & School Organisation & Planning,"Grants, Contributions, Other Income ",-362500
Children and Young People's Serv - Central Depts.,Capital Charges,Employee Costs,4645770
Children and Young People's Serv - Central Depts.,Capital Charges,Depreciation Charges and Revenue contribution to Capital,3572130
Children and Young People's Serv - Central Depts.,Net Charge To General Rate Fund,Appropriations from/to Earmarked Reserves,-1185855
Children and Young People's Serv - Central Depts.,Education & Inclusion Management,Employee Costs,170640
Children and Young People's Serv - Central Depts.,Education & Inclusion Management,"Grants, Contributions, Other Income ",-170640
Children and Young People's Serv - Central Depts.,Medical Needs Team,Employee Costs,153867
Children and Young People's Serv - Central Depts.,Medical Needs Team,Transport Related,4000
Children and Young People's Serv - Central Depts.,Medical Needs Team,Supplies and Services,740
Children and Young People's Serv - Central Depts.,Medical Needs Team,"Grants, Contributions, Other Income ",-158607
Children and Young People's Serv - Central Depts.,Prudential Borrowing by Schools,"Grants, Contributions, Other Income ",-84030
Children and Young People's Serv - Central Depts.,Budget Savings,Supplies and Services,364376
Schools and Children's Services - Non-School,Special Extra District,Large Contract Areas,4498000
Schools and Children's Services - Non-School,Special Extra District,"Grants, Contributions, Other Income ",-4498000
Schools and Children's Services - Non-School,Schools Forum,Supplies and Services,15500
Schools and Children's Services - Non-School,Schools Forum,"Grants, Contributions, Other Income ",-15500
Schools and Children's Services - Non-School,Brighouse Youth Centre,Premise Related,11560
Schools and Children's Services - Non-School,Cartwheel Youth Centre,Premise Related,6000
Schools and Children's Services - Non-School,Eastfield Jubilee Centre,Premise Related,250
Schools and Children's Services - Non-School,Forest Cottage Youth & Community Centre,Premise Related,21575
Schools and Children's Services - Non-School,Youth On Wheels,Premise Related,19120
Schools and Children's Services - Non-School,Queens Road Neighbourhood Centre,Premise Related,30990
Schools and Children's Services - Non-School,Sowerby Bridge Comm Centre,Premise Related,12070
Schools and Children's Services - Non-School,Todmorden,Premise Related,6193
Schools and Children's Services - Non-School,Youth Service - Admin Costs,Depreciation Charges and Revenue contribution to Capital,178130
Schools and Children's Services - Non-School,Detached Playing Fields,Premise Related,5770
Schools and Children's Services - Non-School,Vulnerable Children,Employee Costs,51824
Schools and Children's Services - Non-School,Vulnerable Children,Transport Related,500
Schools and Children's Services - Non-School,Vulnerable Children,Supplies and Services,500
Schools and Children's Services - Non-School,Vulnerable Children,"Grants, Contributions, Other Income ",-52824
Schools and Children's Services - Non-School,Central Halifax Youth Work,Premise Related,4200
Schools and Children's Services - Non-School,Hebden Bridge & Mytholmroyd,Premise Related,3000
Schools and Children's Services - Non-School,Luddenden Youth Club,Premise Related,12540
Schools and Children's Services - Non-School,Pellon Network Centre,Premise Related,4090
Schools and Children's Services - Non-School,Rent Income CYP Land,Premise Related,410
Schools and Children's Services - Non-School,Rent Income CYP Land,"Grants, Contributions, Other Income ",-930
Schools and Children's Services - Non-School,Youth Service - Central Costs,Employee Costs,59667
Schools and Children's Services - Non-School,Youth Service - Central Costs,Transport Related,500
Schools and Children's Services - Non-School,Youth Service - Central Costs,Supplies and Services,168750
Schools and Children's Services - Non-School,Youth Service - Central Costs,Depreciation Charges and Revenue contribution to Capital,8230
Schools and Children's Services - Non-School,Youth Service - Central Costs,"Grants, Contributions, Other Income ",-1273
Schools and Children's Services - Non-School,Central Department Support,Support Service Recharges Expenditure,1319700
Schools and Children's Services - Non-School,Net Charge To General Rate Fund,Appropriations from/to Earmarked Reserves,-6750
Schools and Children's Services - Non-School,Orangebox,Employee Costs,179880
Schools and Children's Services - Non-School,Orangebox,Premise Related,86500
Schools and Children's Services - Non-School,Orangebox,Supplies and Services,7620
Schools and Children's Services - Non-School,Orangebox,Depreciation Charges and Revenue contribution to Capital,68720
Schools and Children's Services - Non-School,Orangebox,"Grants, Contributions, Other Income ",-35000
Schools and Children's Services - Non-School,CAL - Salaries,Employee Costs,13862
Schools and Children's Services - Non-School,CAL - Salaries,"Grants, Contributions, Other Income ",-13862
Schools and Children's Services - Non-School,YJB Intervention Programme,Employee Costs,171060
Schools and Children's Services - Non-School,YJB Intervention Programme,Employee Related,300
Schools and Children's Services - Non-School,YJB Intervention Programme,Transport Related,5050
Schools and Children's Services - Non-School,YJB Intervention Programme,Supplies and Services,400
Schools and Children's Services - Non-School,YJB Intervention Programme,"Grants, Contributions, Other Income ",-65000
Schools and Children's Services - Non-School,Intensive Supervision & Surveillance,Employee Costs,164305
Schools and Children's Services - Non-School,Intensive Supervision & Surveillance,Transport Related,4500
Schools and Children's Services - Non-School,Intensive Supervision & Surveillance,Supplies and Services,500
Schools and Children's Services - Non-School,Intensive Supervision & Surveillance,"Grants, Contributions, Other Income ",-82590
Schools and Children's Services - Non-School,Youth Offenders Team,Employee Costs,78513
Schools and Children's Services - Non-School,Youth Offenders Team,Employee Related,5180
Schools and Children's Services - Non-School,Youth Offenders Team,Premise Related,130
Schools and Children's Services - Non-School,Youth Offenders Team,Transport Related,3900
Schools and Children's Services - Non-School,Youth Offenders Team,Transport Related,68
Schools and Children's Services - Non-School,Youth Offenders Team,Supplies and Services,100099
Schools and Children's Services - Non-School,Youth Offenders Team,Large Contract Areas,-1
Schools and Children's Services - Non-School,Youth Offenders Team,"Grants, Contributions, Other Income ",-181560
Schools and Children's Services - Non-School,Referral Orders,Employee Costs,19985
Schools and Children's Services - Non-School,Referral Orders,Employee Related,810
Schools and Children's Services - Non-School,Referral Orders,Transport Related,250
Schools and Children's Services - Non-School,Referral Orders,"Grants, Contributions, Other Income ",-19500
Schools and Children's Services - Non-School,YOT High Risk Team,Employee Costs,184101
Schools and Children's Services - Non-School,YOT High Risk Team,Transport Related,3000
Schools and Children's Services - Non-School,YOT High Risk Team,"Grants, Contributions, Other Income ",-94540
Schools and Children's Services - Non-School,YOT Early Intervention Team,Employee Costs,205512
Schools and Children's Services - Non-School,YOT Early Intervention Team,Transport Related,2000
Schools and Children's Services - Non-School,YOT Early Intervention Team,"Grants, Contributions, Other Income ",-104750
Schools and Children's Services - Non-School,Targetted Youth Services Team 1,Employee Costs,245733
Schools and Children's Services - Non-School,Targetted Youth Services Team 1,Transport Related,1500
Schools and Children's Services - Non-School,Targetted Youth Services Team 1,Supplies and Services,5000
Schools and Children's Services - Non-School,Targetted Youth Services Team 1,"Grants, Contributions, Other Income ",-21383
Schools and Children's Services - Non-School,Targetted Youth Services Team 2,Employee Costs,289678
Schools and Children's Services - Non-School,Targetted Youth Services Team 2,Transport Related,1500
Schools and Children's Services - Non-School,Targetted Youth Services Team 2,Supplies and Services,5000
Schools and Children's Services - Non-School,Targetted Youth Services Team 2,"Grants, Contributions, Other Income ",-17008
Schools and Children's Services - Non-School,Young Carers,Employee Costs,201960
Schools and Children's Services - Non-School,Young Carers,Transport Related,5000
Schools and Children's Services - Non-School,Young Carers,Supplies and Services,5000
Schools and Children's Services - Non-School,Holiday Inclusion (Play),Employee Costs,46640
Schools and Children's Services - Non-School,Holiday Inclusion (Play),Supplies and Services,3000
Schools and Children's Services - Non-School,Holiday Inclusion (Play),"Grants, Contributions, Other Income ",-49640
Childrens Services Unit,CSU - Central Services,Support Service Recharges Expenditure,1151760
Childrens Services Unit,Kevin Pearce Childrens' Centre,Depreciation Charges and Revenue contribution to Capital,47650
Childrens Services Unit,Wellholme Park Centre,Depreciation Charges and Revenue contribution to Capital,11520
Childrens Services Unit,New Road Childrens' Centre,Depreciation Charges and Revenue contribution to Capital,5840
Childrens Services Unit,Jubilee Children's Centre,Depreciation Charges and Revenue contribution to Capital,87790
Childrens Services Unit,SENDIASS,Employee Costs,165860
Childrens Services Unit,SENDIASS,Transport Related,3000
Childrens Services Unit,SENDIASS,Supplies and Services,2570
Childrens Services Unit,SENDIASS,"Grants, Contributions, Other Income ",-171430
Childrens Services Unit,Family Intervention Team,Employee Costs,957160
Childrens Services Unit,Family Intervention Team,Employee Related,500
Childrens Services Unit,Family Intervention Team,Transport Related,29500
Childrens Services Unit,Family Intervention Team,Supplies and Services,11090
Childrens Services Unit,Family Intervention Team,"Grants, Contributions, Other Income ",-176320
Childrens Services Unit,Early Intervention Childcare Funding,Large Contract Areas,134000
Childrens Services Unit,Early Years & Childcare Sufficiency Team,Employee Costs,331574
Childrens Services Unit,Early Years & Childcare Sufficiency Team,Transport Related,1000
Childrens Services Unit,Early Years & Childcare Sufficiency Team,Supplies and Services,79000
Childrens Services Unit,Early Years & Childcare Sufficiency Team,Internal Recharge Expenditure,9000
Childrens Services Unit,Early Years & Childcare Sufficiency Team,"Grants, Contributions, Other Income ",-314304
Childrens Services Unit,Core Play Service,Premise Related,6300
Childrens Services Unit,Field Lane Children's Centre,Depreciation Charges and Revenue contribution to Capital,23740
Childrens Services Unit,D C A T C H,Supplies and Services,665560
Childrens Services Unit,D C A T C H,"Grants, Contributions, Other Income ",-530000
Childrens Services Unit,Elland Children's Centre,Depreciation Charges and Revenue contribution to Capital,19330
Childrens Services Unit,Nursery Grant Funding,Supplies and Services,36000
Childrens Services Unit,Nursery Grant Funding,Large Contract Areas,13899846
Childrens Services Unit,Nursery Grant Funding,Internal Recharge Expenditure,104020
Childrens Services Unit,Nursery Grant Funding,"Grants, Contributions, Other Income ",-14039866
Childrens Services Unit,Creations Community Children's Centre,Depreciation Charges and Revenue contribution to Capital,14210
Childrens Services Unit,Information Advice & Support Service,Employee Costs,59000
Childrens Services Unit,Net Charge To GRF,Appropriations from/to Earmarked Reserves,-94280
Childrens Services Unit,Positive Choices (Innovation Funding),Employee Costs,35280
Childrens Services Unit,Public Health funding - Early Intervention,Employee Costs,98100
Childrens Services Unit,Public Health funding - Early Intervention,Transport Related,1900
Childrens Services Unit,Public Health funding - Early Intervention,"Grants, Contributions, Other Income ",-100000
Childrens Services Unit,Troubled Families (Phase 2),Employee Costs,500680
Childrens Services Unit,Troubled Families (Phase 2),Transport Related,10000
Childrens Services Unit,Troubled Families (Phase 2),Large Contract Areas,176320
Childrens Services Unit,Troubled Families (Phase 2),Internal Recharge Expenditure,108400
Childrens Services Unit,Troubled Families (Phase 2),"Grants, Contributions, Other Income ",-795400
Childrens Care Services,Operational Management,Employee Costs,64540
Childrens Care Services,Operational Management,Employee Costs,570338
Childrens Care Services,Operational Management,Transport Related,5425
Childrens Care Services,Operational Management,Supplies and Services,22099
Childrens Care Services,Operational Management,Large Contract Areas,1450
Childrens Care Services,Operational Management,Support Service Recharges Expenditure,2949910
Childrens Care Services,CSC Legal,Employee Costs,7630
Childrens Care Services,CSC Legal,Employee Costs,53620
Childrens Care Services,CSC Legal,Supplies and Services,332600
Childrens Care Services,Field Heights,Employee Costs,64510
Childrens Care Services,Field Heights,Employee Costs,443960
Childrens Care Services,Field Heights,Transport Related,3440
Childrens Care Services,Field Heights,Supplies and Services,55750
Childrens Care Services,Hebble Lodge,Employee Costs,64730
Childrens Care Services,Hebble Lodge,Employee Costs,451039
Childrens Care Services,Hebble Lodge,Premise Related,50
Childrens Care Services,Hebble Lodge,Transport Related,3000
Childrens Care Services,Hebble Lodge,Transport Related,8500
Childrens Care Services,Hebble Lodge,Supplies and Services,37026
Childrens Care Services,Hebble Lodge,Depreciation Charges and Revenue contribution to Capital,3500
Childrens Care Services,Sleep On It,Employee Costs,49020
Childrens Care Services,Sleep On It,Premise Related,11897
Childrens Care Services,Sleep On It,Transport Related,6500
Childrens Care Services,Sleep On It,Depreciation Charges and Revenue contribution to Capital,5780
Childrens Care Services,Cousin Lane,Employee Costs,66490
Childrens Care Services,Cousin Lane,Employee Costs,463123
Childrens Care Services,Cousin Lane,Premise Related,10750
Childrens Care Services,Cousin Lane,Transport Related,3550
Childrens Care Services,Cousin Lane,Transport Related,600
Childrens Care Services,Cousin Lane,Supplies and Services,42082
Childrens Care Services,Cousin Lane,Depreciation Charges and Revenue contribution to Capital,5980
Childrens Care Services,Westgarth extra,Premise Related,18620
Childrens Care Services,Outreach (55 AFV),Employee Costs,184660
Childrens Care Services,Outreach (55 AFV),Premise Related,3500
Childrens Care Services,Outreach (55 AFV),Transport Related,5150
Childrens Care Services,Outreach (55 AFV),Supplies and Services,3000
Childrens Care Services,Linden Brook,Employee Costs,96280
Childrens Care Services,Linden Brook,Employee Costs,664957
Childrens Care Services,Linden Brook,Premise Related,20255
Childrens Care Services,Linden Brook,Transport Related,250
Childrens Care Services,Linden Brook,Supplies and Services,27653
Childrens Care Services,Linden Brook,Depreciation Charges and Revenue contribution to Capital,2560
Childrens Care Services,Linden Brook,"Grants, Contributions, Other Income ",-100000
Childrens Care Services,Childrens External Placements,Supplies and Services,9000
Childrens Care Services,Childrens External Placements,Large Contract Areas,3388160
Childrens Care Services,North & East/Lower Valley CIN/CP (non staff),Supplies and Services,26235
Childrens Care Services,North & East/Lower Valley CIN/CP (non staff),Large Contract Areas,3500
Childrens Care Services,Central and West & Upper Valley CIN/CP (non staff),Supplies and Services,58751
Childrens Care Services,Central and West & Upper Valley CIN/CP (non staff),Large Contract Areas,3500
Childrens Care Services,Locality Teams Staffing,Employee Costs,398820
Childrens Care Services,Locality Teams Staffing,Employee Costs,2778285
Childrens Care Services,Locality Teams Staffing,Transport Related,121155
Childrens Care Services,Locality Teams Staffing,Supplies and Services,12605
Childrens Care Services,Children Looked After (non staffing),Premise Related,800
Childrens Care Services,Children Looked After (non staffing),Supplies and Services,101018
Childrens Care Services,Children Looked After (non staffing),Large Contract Areas,11000
Childrens Care Services,Connected Carer Services,Supplies and Services,260
Childrens Care Services,Connected Carer Services,Large Contract Areas,822674
Childrens Care Services,Emergency Duty Team,Employee Costs,52520
Childrens Care Services,Emergency Duty Team,Employee Costs,382734
Childrens Care Services,Emergency Duty Team,Transport Related,6360
Childrens Care Services,Emergency Duty Team,Supplies and Services,760
Childrens Care Services,Emergency Duty Team,"Grants, Contributions, Other Income ",-370034
Childrens Care Services,Adoption Service,Supplies and Services,1038128
Childrens Care Services,Adoption Service,Large Contract Areas,411057
Childrens Care Services,Fostering Team,Employee Costs,134870
Childrens Care Services,Fostering Team,Employee Costs,951943
Childrens Care Services,Fostering Team,Transport Related,27310
Childrens Care Services,Fostering Team,Supplies and Services,8370
Childrens Care Services,Fostering Service,Employee Related,14000
Childrens Care Services,Fostering Service,Supplies and Services,92510
Childrens Care Services,Fostering Service,Large Contract Areas,2888332
Childrens Care Services,Fostering Service,"Grants, Contributions, Other Income ",-87750
Childrens Care Services,Residence Allowances,Large Contract Areas,18980
Childrens Care Services,Special Guardianship,Supplies and Services,15000
Childrens Care Services,Special Guardianship,Large Contract Areas,1619756
Childrens Care Services,Purchased Foster Care,Large Contract Areas,1663480
Childrens Care Services,Leaving Care,"Grants, Contributions, Other Income ",-227769
Childrens Care Services,CLA POD 5,Employee Costs,198470
Childrens Care Services,CLA POD 5,Transport Related,9750
Childrens Care Services,CLA POD 5,Supplies and Services,3000
Childrens Care Services,CLA POD 5,Transfer Payments,1107723
Childrens Care Services,CLA POD 5,"Grants, Contributions, Other Income ",-100000
Childrens Care Services,Care Leavers Service,Employee Costs,289530
Childrens Care Services,Care Leavers Service,Transport Related,10250
Childrens Care Services,Care Leavers Service,Supplies and Services,11900
Childrens Care Services,Care Leavers Service,Transfer Payments,646700
Childrens Care Services,Care Leavers Service,"Grants, Contributions, Other Income ",-112980
Childrens Care Services,Children's Assessment Team,Employee Costs,271640
Childrens Care Services,Children's Assessment Team,Employee Costs,1895832
Childrens Care Services,Children's Assessment Team,Transport Related,32765
Childrens Care Services,Children's Assessment Team,Supplies and Services,20930
Childrens Care Services,Children's Assessment Team,Large Contract Areas,8000
Childrens Care Services,Children's Assessment Team,"Grants, Contributions, Other Income ",-60000
Childrens Care Services,Right Home - Innovation Programme,Supplies and Services,6500
Childrens Care Services,Right Home - Innovation Programme,Large Contract Areas,79206
Childrens Care Services,Elland Premises,Premise Related,18700
Childrens Care Services,Elland Premises,Depreciation Charges and Revenue contribution to Capital,3130
Childrens Care Services,Carlton Mill premises,Premise Related,55260
Childrens Care Services,Carlton Mill premises,Depreciation Charges and Revenue contribution to Capital,11670
Childrens Care Services,Schools Safeguarding Officer,Employee Costs,8470
Childrens Care Services,Schools Safeguarding Officer,Employee Costs,64395
Childrens Care Services,Schools Safeguarding Officer,Premise Related,5936
Childrens Care Services,Schools Safeguarding Officer,Supplies and Services,6900
Childrens Care Services,Schools Safeguarding Officer,Internal Recharge Expenditure,23452
Childrens Care Services,Schools Safeguarding Officer,"Grants, Contributions, Other Income ",-93713
Childrens Care Services,Young Carers,Employee Costs,25880
Childrens Care Services,Young Carers,Transport Related,200
Childrens Care Services,Calderdale Therapeutic Service,Employee Costs,29160
Childrens Care Services,Calderdale Therapeutic Service,Employee Costs,256250
Childrens Care Services,Calderdale Therapeutic Service,Employee Related,4000
Childrens Care Services,Calderdale Therapeutic Service,Premise Related,1000
Childrens Care Services,Calderdale Therapeutic Service,Transport Related,9970
Childrens Care Services,Calderdale Therapeutic Service,Supplies and Services,16379
Childrens Care Services,Calderdale Therapeutic Service,Large Contract Areas,3000
Childrens Care Services,Safeguarding Board,Employee Costs,33150
Childrens Care Services,Safeguarding Board,Employee Costs,232720
Childrens Care Services,Safeguarding Board,Employee Related,4530
Childrens Care Services,Safeguarding Board,Premise Related,12000
Childrens Care Services,Safeguarding Board,Transport Related,1500
Childrens Care Services,Safeguarding Board,Supplies and Services,122285
Childrens Care Services,Safeguarding Board,"Grants, Contributions, Other Income ",-154450
Transport Services,Management Supervision,Employee Costs,11360
Transport Services,Management Supervision,Employee Costs,106320
Transport Services,Management Supervision,Supplies and Services,1000
Transport Services,Management Supervision,Support Service Recharges Income,-118690
Transport Services,Mechanics,Employee Costs,37550
Transport Services,Mechanics,Employee Costs,272714
Transport Services,Mechanics,Employee Related,60
Transport Services,Mechanics,Supplies and Services,3450
Transport Services,Mechanics,Support Service Recharges Expenditure,-79220
Transport Services,Mechanics,Support Service Recharges Income,-234550
Transport Services,Workshop,Supplies and Services,17590
Transport Services,Workshop,Support Service Recharges Expenditure,-70840
Transport Services,Workshop,Support Service Recharges Income,53250
Transport Services,Vehicle and Plant Maintenance,Transport Related,211990
Transport Services,Vehicle and Plant Maintenance,Supplies and Services,22500
Transport Services,Vehicle and Plant Maintenance,Support Service Recharges Expenditure,-25900
Transport Services,Vehicle and Plant Maintenance,Support Service Recharges Income,45780
Transport Services,Vehicle and Plant Maintenance,"Grants, Contributions, Other Income ",-251430
Transport Services,Administration,Employee Costs,14970
Transport Services,Administration,Employee Costs,101695
Transport Services,Administration,Employee Related,670
Transport Services,Administration,Transport Related,40
Transport Services,Administration,Supplies and Services,-560020
Transport Services,Administration,Support Service Recharges Expenditure,635580
Transport Services,Administration,Support Service Recharges Income,-195880
Transport Services,Vehicle Operations Account,Employee Costs,120540
Transport Services,Vehicle Operations Account,Employee Costs,1411785
Transport Services,Vehicle Operations Account,Employee Related,490
Transport Services,Vehicle Operations Account,Transport Related,129460
Transport Services,Vehicle Operations Account,Supplies and Services,17620
Transport Services,Vehicle Operations Account,Support Service Recharges Expenditure,230150
Transport Services,Vehicle Operations Account,Depreciation Charges and Revenue contribution to Capital,456570
Transport Services,Vehicle Operations Account,Support Service Recharges Income,-2242210
Transport Services,Vehicle Operations Account,"Grants, Contributions, Other Income ",-124400
Transport Services,Pellon Depot,Premise Related,94730
Transport Services,Pellon Depot,Supplies and Services,4170
